Word,Low,High,Avg
males,1,394,144.494016088
tiles,1,452,144.645085344
scare,1,330,145.512262115
saute,1,396,145.519325093
hales,1,362,145.614675299
ratel,1,407,145.655287424
later,1,407,145.671571513
arils,1,364,145.702766333
noles,1,371,145.870315872
salue,1,410,145.964488915
sager,1,375,146.191092800
store,1,404,146.234255444
caser,1,388,146.414165195
aisle,1,332,146.469295664
lames,1,394,146.802432804
eorls,1,356,147.015695507
terns,1,406,147.202275849
toras,1,389,147.255836767
senor,1,373,147.297233667
netas,1,405,147.681185011
tiare,1,393,147.693741417
seron,1,373,147.885618992
least,1,381,148.021973710
sarge,1,375,148.047086521
earst,1,359,148.093192074
tames,1,384,148.119874436
renos,1,373,148.243476555
solar,1,351,148.598783598
loser,1,356,148.602707475
ayres,1,323,148.614479105
naris,1,407,148.812831077
saber,1,399,148.838140082
alose,1,325,148.849715519
eards,1,372,148.914067098
deals,1,394,149.015106926
ariel,1,373,149.104178929
serin,1,366,149.147930155
alces,1,366,149.221306651
pales,1,412,149.267804591
aides,1,400,149.296841279
mates,1,384,149.337649598
lites,1,452,149.382577987
carse,1,395,149.437512262
cires,1,428,149.437904650
cores,1,429,149.521287032
oater,1,348,149.551304689
tones,1,420,149.586423386
stire,1,407,149.714930351
reams,1,368,149.787325878
rains,1,407,150.027859525
roans,1,394,150.141455758
tiars,1,429,150.145379635
telos,1,403,150.161271336
apres,1,386,150.181283108
tarns,1,460,150.226211497
snore,1,373,150.232685894
soral,1,351,150.375711203
reins,1,366,150.424563469
braes,1,399,150.469884246
aster,1,365,150.526976653
samel,1,394,150.572689818
roset,1,404,151.254267216
saned,1,397,151.317834020
roues,1,415,151.330782813
ioras,1,397,151.562683932
cries,1,428,151.562880126
ranis,1,407,151.672552482
raine,1,405,151.823817932
manes,1,388,151.955660192
fares,1,413,151.976456739
sabre,1,399,152.012164018
nerts,1,406,152.040219737
leads,1,394,152.082401413
sarin,1,407,152.521875613
rotas,1,389,152.573474593
realo,1,336,152.675887777
hears,1,350,152.701196782
gales,1,403,152.772218952
yales,1,358,152.777908574
spaer,1,386,152.944280950
tesla,1,381,152.944869531
satem,1,384,152.963115558
lines,1,422,153.083774769
teads,1,372,153.150676869
lures,1,430,153.700215813
rents,1,406,153.714341770
airts,1,429,153.766725525
torse,1,404,153.944477143
pears,1,386,153.949381989
slade,1,394,154.042770257
tiers,1,409,154.287227781
sorta,1,389,154.575436531
rased,1,415,154.620561114
salep,1,412,154.640180498
amies,1,381,154.724543849
teils,1,452,154.799489896
ureas,1,385,155.309986266
tapes,1,409,155.427506376
rants,1,460,155.559544830
panes,1,410,155.564449676
artel,1,407,155.565823033
share,1,350,155.669609574
elans,1,465,155.723562880
notes,1,420,155.803806160
silen,1,422,155.840102021
aunes,1,388,155.882479890
gates,1,387,155.897194428
orate,1,358,155.974690995
pates,1,409,156.030802433
years,1,343,156.098096920
tails,1,527,156.161271336
rakes,1,422,156.452815382
bales,1,416,156.466941338
stole,1,386,156.499509515
reaps,1,386,156.789876398
wares,1,436,156.802040416
orans,1,394,156.804198548
slart,1,414,156.962723170
yates,1,349,157.004512458
kaies,1,351,157.238964097
names,1,388,157.344320188
irate,1,393,157.483617814
tabes,1,400,157.680204042
rices,1,428,157.683931725
acnes,1,367,157.754953894
spare,1,386,157.949774377
darls,1,431,158.205807338
alter,1,407,158.207965470
rules,1,430,158.230331568
marse,1,414,158.292721209
gears,1,375,158.329605650
hates,1,395,158.384932313
stela,1,448,158.406513635
maser,1,405,158.457916421
samen,1,388,158.467529920
sitar,1,429,158.761232097
dores,1,487,158.911712772
acers,1,370,158.921914852
neosa,1,313,158.923092015
bates,1,400,158.927996861
mires,1,439,158.965077497
airns,1,407,159.235040220
daris,1,418,159.511673533
lenos,1,434,159.648224446
scale,1,388,159.651559741
safer,1,413,159.702177752
repas,1,386,159.741220326
saker,1,422,159.842063959
tased,1,384,160.144202472
almes,1,394,160.144594860
salto,1,449,160.225034334
parse,1,391,160.235824995
mores,1,465,160.275848538
toise,1,384,160.307828134
sonar,1,394,160.368844418
deans,1,397,160.493623700
meals,1,430,160.525407102
stade,1,372,160.537571120
resol,1,356,160.712772219
artis,1,429,160.804787130
trans,1,460,160.985677850
ceros,1,429,161.126741220
loris,1,427,161.218363743
bears,1,399,161.284677261
coles,1,432,161.294486953
tines,1,476,161.479301550
stair,1,429,161.591524426
dries,1,462,161.710025505
loirs,1,427,161.717677065
maise,1,374,161.724740043
napes,1,410,161.727486757
banes,1,412,161.736119286
sored,1,487,161.774965666
urase,1,337,161.897390622
cades,1,408,162.039042574
steal,1,448,162.083186188
lased,1,394,162.272120855
ramse,1,414,162.934471258
loans,1,473,163.006082009
lards,1,431,163.078477536
daces,1,408,163.091818717
hires,1,451,163.136747106
vares,1,446,163.304885227
caste,1,382,163.514616441
noser,1,376,163.530508142
leams,1,430,163.556013341
sired,1,462,163.615852462
raids,1,418,163.617814401
ursae,1,334,163.637629978
trues,1,484,163.642338631
roils,1,427,163.783205807
stile,1,452,164.043162645
abies,1,409,164.052972337
segar,1,375,164.072395527
tolas,1,449,164.172061997
arnis,1,407,164.317245438
sarod,1,428,164.367078674
carls,1,465,164.536590151
learn,1,414,164.649401609
blaes,1,416,164.925053953
anise,1,340,164.931528350
paise,1,394,165.008436335
sawer,1,436,165.054149500
darts,1,490,165.112811458
rodes,1,487,165.173239160
laten,1,425,165.367667255
deros,1,487,165.565038258
roast,1,393,165.708455954
pores,1,492,165.758289190
paseo,1,336,165.862271925
arsed,1,415,165.884441829
reist,1,407,165.914263292
lenis,1,454,165.969982343
yores,1,404,166.123798313
naios,1,366,166.191288994
terai,1,393,166.215420836
osier,1,367,166.229939180
roads,1,428,166.269962723
meats,1,456,166.483029233
caret,1,511,166.799293702
rimes,1,439,166.811065333
oners,1,391,167.032960565
heals,1,438,167.172454385
nabes,1,412,167.380223661
doles,1,474,167.394153424
teams,1,456,167.437708456
nites,1,476,167.581126153
merls,1,448,167.711006474
lotas,1,449,167.873847361
tards,1,490,167.887580930
risen,1,432,168.013733569
nails,1,536,168.127133608
clies,1,490,168.130861291
seric,1,428,168.306258583
certs,1,475,168.338826761
resto,1,404,168.374534040
nelis,1,454,168.416911909
raves,1,446,168.428879733
sable,1,416,168.457524034
lants,1,548,168.509123014
melas,1,430,168.641553855
peals,1,440,168.710614087
rides,1,462,168.754953894
kales,1,449,168.785756327
carle,1,487,168.818913086
rohes,1,461,168.905042182
cotes,1,461,168.953109672
stean,1,459,168.977241515
smear,1,385,169.009613498
sayne,1,392,169.013341181
fales,1,443,169.421424367
resit,1,407,169.619187758
pries,1,477,169.642731018
olate,1,420,169.833823818
noels,1,511,169.849519325
runes,1,436,169.872866392
meris,1,439,169.940160879
stria,1,429,170.228369629
salon,1,473,170.424171081
means,1,448,170.437119874
gores,1,492,170.500490485
snarl,1,387,170.505395331
rheas,1,398,170.515008829
losen,1,387,170.537374926
tarsi,1,429,170.578379439
retia,1,393,170.798705121
takes,1,430,170.813419659
shale,1,407,170.856582303
nages,1,418,170.863056700
lakes,1,449,171.284284873
rhies,1,451,171.291936433
danse,1,424,171.297626055
lodes,1,474,171.378850304
leaps,1,440,171.389052384
shear,1,398,171.520109869
baser,1,422,171.548754169
riads,1,418,171.630174613
mairs,1,460,171.707867373
soled,1,474,171.841867765
saver,1,446,171.906611732
stone,1,420,171.921914852
score,1,429,171.924661566
ropes,1,492,172.007062978
oaten,1,354,172.144987247
redos,1,487,172.209731214
cames,1,425,172.301549931
scire,1,428,172.402589759
metas,1,456,172.413772808
carte,1,511,172.422993918
arsey,1,426,172.614282912
sider,1,462,172.661565627
dotes,1,493,172.772022758
darns,1,479,172.793996469
fears,1,413,172.890720031
doers,1,487,172.998626643
naieo,1,390,173.117716304
carts,1,521,173.148518737
spale,1,412,173.167157151
herls,1,443,173.271532274
lyres,1,424,173.294290759
fates,1,430,173.339611536
saree,1,463,173.366882480
uraos,1,431,173.476358642
sedan,1,397,173.580929959
wales,1,460,173.585246223
rinse,1,438,173.608789484
neral,1,414,173.758092996
tared,1,557,173.875416912
fanes,1,432,173.903276437
sauce,1,459,173.914459486
shoer,1,461,173.975083382
maces,1,425,174.005689621
geals,1,449,174.012752600
etnas,1,495,174.090445360
oriel,1,421,174.158524622
ables,1,416,174.164214244
teins,1,489,174.230920149
prase,1,391,174.362762409
moles,1,471,174.448891505
apers,1,411,174.462821267
seton,1,468,174.691387090
shier,1,451,174.722189523
pelas,1,440,174.751226211
maire,1,436,174.765548362
alert,1,407,174.776535217
tains,1,565,174.798508927
reaks,1,422,174.834412399
tirls,1,490,174.918775750
bries,1,478,174.931724544
tiros,1,532,175.076515597
spate,1,409,175.394545811
holes,1,455,175.500882872
alios,1,465,175.507161075
cones,1,448,175.529527173
drats,1,490,175.642731018
alecs,1,498,175.699627232
carns,1,503,175.702766333
marls,1,502,175.758289190
solde,1,474,175.853050814
bores,1,510,175.933686482
riots,1,532,175.961546007
spear,1,411,176.080439474
santo,1,489,176.092211105
peats,1,467,176.117716304
rotls,1,468,176.118304885
liane,1,478,176.167353345
ripes,1,477,176.224641946
ideas,1,393,176.257406317
halse,1,407,176.316853051
reoil,1,421,176.318814989
lacer,1,487,176.380812242
cages,1,411,176.406906023
derns,1,492,176.462428880
aegis,1,404,176.566215421
renal,1,414,176.576025113
peans,1,463,176.638610948
selah,1,438,176.677064940
heros,1,461,176.680400235
iotas,1,474,176.713556994
beals,1,450,176.742789876
cater,1,511,176.764371199
hairs,1,462,176.886403767
wears,1,436,176.933490288
delos,1,474,176.965666078
litas,1,527,177.141259564
trois,1,532,177.293309790
marle,1,516,177.328428487
isnae,1,353,177.416323327
sieur,1,467,177.487541691
geats,1,462,177.522660388
perls,1,501,177.526780459
rosal,1,370,177.585834805
stern,1,406,177.587208162
haros,1,443,177.599568374
starn,1,460,177.638414754
tules,1,533,177.798116539
paire,1,440,177.799686090
heirs,1,451,177.836766726
liens,1,519,177.853247008
cites,1,530,177.854816559
dames,1,458,177.873651167
tices,1,530,177.879340789
capes,1,439,177.915244261
lomes,1,471,177.944477143
oiler,1,421,177.947812439
tiler,1,497,177.949578183
sepia,1,396,178.156562684
rotis,1,532,178.256032961
ceils,1,490,178.265842653
moars,1,475,178.268589366
crias,1,448,178.294094565
trads,1,490,178.357268982
smore,1,465,178.404355503
oaves,1,350,178.487541691
loast,1,449,178.489111242
paste,1,409,178.624288797
peris,1,477,178.624484991
pairs,1,505,178.644692957
altos,1,449,178.659603688
antre,1,469,178.707278791
hades,1,420,178.743182264
paces,1,439,178.849519325
miles,1,498,179.015891701
trios,1,532,179.123798313
tepas,1,467,179.165979988
harls,1,483,179.330782813
kanes,1,456,179.357072788
agers,1,397,179.405925054
parle,1,522,179.466745144
socle,1,434,179.474396704
lapse,1,412,179.535412988
pareo,1,412,179.546596037
poles,1,498,179.582499510
doats,1,494,179.607808515
beats,1,458,179.629978419
noias,1,510,179.641946243
oared,1,444,179.863645282
tomes,1,489,179.905434569
delts,1,524,179.915048067
deils,1,518,179.940553267
ramis,1,460,179.951147734
dalts,1,563,179.973513832
loads,1,501,179.979203453
noise,1,444,180.002354326
earnt,1,497,180.053953306
slyer,1,424,180.208946439
sware,1,436,180.239160290
paris,1,505,180.265646459
laids,1,537,180.272513243
rajes,1,453,180.341181087
raxes,1,454,180.346674514
stead,1,427,180.414753777
haler,1,479,180.422012949
spane,1,410,180.491857956
ratus,1,511,180.585638611
vales,1,476,180.591328232
soger,1,492,180.664116147
baels,1,529,180.666470473
nards,1,479,180.686089857
toads,1,494,180.691387090
uraei,1,384,180.741024132
ribes,1,478,180.777908574
sorda,1,428,180.785756327
siled,1,518,180.881106533
tyres,1,455,180.889150481
motes,1,489,180.909162252
saint,1,565,180.922111046
carne,1,537,180.933882676
leant,1,493,180.957425937
soave,1,381,180.983519717
auris,1,448,181.054149500
resin,1,432,181.076319404
caner,1,537,181.239748872
abers,1,399,181.264469296
roams,1,475,181.277221895
robes,1,510,181.330586620
getas,1,462,181.368059643
rares,1,463,181.413576614
datos,1,494,181.473808122
terms,1,495,181.604473220
shore,1,461,181.622523053
rated,1,557,181.656268393
manse,1,415,181.760251128
razes,1,455,181.764371199
heats,1,476,181.772807534
dalis,1,537,181.797331764
spier,1,477,181.814596822
nemas,1,448,182.017853639
rauns,1,493,182.152835001
telia,1,421,182.241122229
resam,1,405,182.247400432
neaps,1,463,182.299195605
alien,1,444,182.343731607
lerps,1,501,182.394545811
delis,1,518,182.397684913
celts,1,504,182.417500490
limes,1,498,182.471649990
farse,1,437,182.525210908
natis,1,565,182.531096724
eyras,1,424,182.571905042
moers,1,465,182.594663528
dater,1,557,182.709633118
tides,1,550,182.821267412
laves,1,476,182.957622131
kores,1,510,183.056503826
lunes,1,497,183.087894840
cines,1,502,183.125171670
yeans,1,483,183.218952325
sewar,1,436,183.227192466
wanes,1,463,183.227388660
paler,1,522,183.254855798
tinea,1,439,183.281538160
narcs,1,503,183.292721209
lader,1,527,183.315479694
goles,1,488,183.367274868
beans,1,458,183.415342358
rands,1,479,183.455562095
lopes,1,498,183.494997057
tsade,1,414,183.526976653
lutes,1,533,183.546007455
ramie,1,436,183.611536198
shire,1,451,183.692368060
haste,1,408,183.968216598
dites,1,550,184.069256425
solan,1,473,184.274867569
tians,1,565,184.300765156
toile,1,527,184.330979007
deair,1,456,184.346674514
betas,1,458,184.350009810
nerds,1,492,184.493035119
ramet,1,553,184.505983912
slant,1,548,184.536786345
sober,1,510,184.547773200
sepal,1,440,184.560918187
lehrs,1,443,184.672356288
parte,1,553,184.778104768
hoars,1,443,184.803806160
noris,1,531,184.843044928
ogres,1,492,184.937217971
calos,1,522,185.047871297
litre,1,497,185.095938788
haets,1,561,185.287620169
saser,1,463,185.298607024
cesta,1,427,185.353933686
sceat,1,515,185.399843045
spore,1,492,185.473023347
noirs,1,531,185.490680793
lacet,1,479,185.504218168
coals,1,522,185.580537571
loner,1,465,185.602118893
senti,1,489,185.638022366
stage,1,409,185.940357073
repos,1,492,185.961153620
dials,1,537,186.006278203
satin,1,565,186.105159898
islet,1,452,186.222876202
slide,1,518,186.426525407
toils,1,591,186.432411222
arled,1,527,186.445163822
sidle,1,518,186.446733373
sture,1,484,186.462036492
fores,1,522,186.509907789
marts,1,565,186.524622327
sadhe,1,420,186.530704336
arcos,1,426,186.737492643
hanse,1,415,186.758877771
syren,1,423,186.793996469
gairs,1,496,186.867765352
laide,1,480,186.896802040
liter,1,497,186.928781636
nirls,1,446,186.938395134
steil,1,496,186.987051207
moras,1,475,187.053364724
rouse,1,415,187.062978222
garis,1,496,187.074946047
laics,1,586,187.140082401
loges,1,488,187.199725329
herns,1,462,187.266823622
twaes,1,444,187.322150284
sapor,1,488,187.341769668
crues,1,511,187.412791838
topes,1,522,187.482636845
spire,1,477,187.498528546
vanes,1,474,187.544045517
baste,1,400,187.571905042
neato,1,412,187.710614087
trade,1,557,187.720619973
lamer,1,516,187.733764960
slain,1,536,187.781832450
cures,1,511,187.797920345
tamer,1,553,187.821855994
gades,1,465,187.925250147
sited,1,550,187.935256033
roins,1,531,187.947616245
septa,1,467,187.953305866
corse,1,455,187.970178536
times,1,531,188.021188935
crans,1,503,188.058269570
toner,1,560,188.100843634
crate,1,511,188.121640180
riems,1,453,188.218363743
slice,1,490,188.219737100
perns,1,499,188.283107710
rends,1,492,188.314106337
luser,1,430,188.319599765
potes,1,522,188.343143025
alone,1,471,188.528938591
nilas,1,536,188.636649009
toges,1,525,188.725721012
aired,1,514,188.738866000
urate,1,445,188.779674318
mites,1,531,189.051206592
rance,1,537,189.130861291
dorse,1,492,189.161663724
relit,1,497,189.196193840
geans,1,465,189.224445752
snead,1,429,189.264665490
resay,1,426,189.286443006
rokes,1,510,189.291151658
boles,1,509,189.353737493
lated,1,514,189.411026094
scote,1,461,189.429272121
mater,1,553,189.441239945
paren,1,563,189.457916421
horas,1,445,189.467529920
piles,1,551,189.619383951
hoers,1,461,189.771434177
sayed,1,414,189.793211693
orcas,1,426,189.837355307
plies,1,551,189.929370218
idles,1,518,190.083774769
tacos,1,520,190.212674122
aurei,1,497,190.290170689
sloan,1,473,190.361781440
meils,1,498,190.420835786
cased,1,467,190.480282519
hames,1,437,190.492250343
acros,1,426,190.584853836
norie,1,514,190.736315480
suite,1,497,190.828330390
regos,1,492,190.870512066
taper,1,553,191.121443987
onset,1,420,191.219933294
anole,1,471,191.247204238
coate,1,517,191.300176574
feals,1,467,191.329998038
fires,1,513,191.357661369
shiel,1,508,191.454384932
tunes,1,538,191.458505003
stoai,1,474,191.500294291
pater,1,553,191.508730626
coats,1,520,191.509515401
erics,1,467,191.512850696
nodes,1,501,191.566411615
froes,1,522,191.669805768
noire,1,514,191.693937610
trace,1,511,191.732783991
sural,1,459,191.893466745
anils,1,536,191.895428684
leash,1,438,191.922307240
perts,1,555,192.029625270
salve,1,476,192.045516971
melos,1,479,192.160094173
ronte,1,560,192.183048852
rosed,1,487,192.325877967
tinas,1,565,192.369825387
basen,1,439,192.409848931
harns,1,527,192.416127134
lobes,1,509,192.437119874
icers,1,440,192.529527173
moais,1,482,192.581714734
porae,1,488,192.584069060
strad,1,490,192.593878752
snail,1,536,192.639199529
enols,1,560,192.647635864
euros,1,495,192.674514420
praos,1,488,192.811261526
raned,1,595,192.837551501
rione,1,514,192.846184030
genas,1,465,192.864626251
morae,1,479,192.919168138
rabis,1,479,192.926623504
hoser,1,461,192.927015892
pones,1,504,192.979595841
hones,1,478,193.033352953
ceria,1,440,193.067098293
sabed,1,472,193.088679615
surat,1,511,193.148518737
meads,1,458,193.159505592
sabir,1,479,193.161271336
doser,1,487,193.169903865
asper,1,424,193.180105945
stied,1,550,193.213458897
lipes,1,551,193.359819502
leafs,1,467,193.364135766
talcs,1,625,193.382577987
nacre,1,537,193.401412596
skate,1,430,193.455758289
osetr,1,425,193.508926820
leaks,1,480,193.533451050
diels,1,518,193.536197763
coset,1,461,193.579556602
react,1,511,193.649990190
fries,1,513,193.655876005
pleas,1,521,193.672356288
naves,1,474,193.709240730
wires,1,524,193.781440063
layer,1,488,193.905434569
oilet,1,471,193.979007259
goers,1,492,193.981950167
acmes,1,425,193.982931136
crise,1,466,194.000000000
boars,1,493,194.015303119
lacis,1,586,194.077496567
todea,1,499,194.229350598
ragis,1,496,194.247792819
aline,1,478,194.274278988
irade,1,456,194.331371395
psoae,1,370,194.443986659
rayle,1,488,194.456543065
aside,1,400,194.484206396
biles,1,541,194.524426133
helos,1,492,194.526388071
weals,1,461,194.550323720
hater,1,552,194.611340004
simar,1,460,194.674710614
sonce,1,473,194.676672552
slake,1,449,194.679223072
strep,1,555,194.692171866
trons,1,564,194.692368060
lyase,1,401,194.709044536
palet,1,528,194.753188150
lotsa,1,449,194.777908574
talus,1,618,194.818520698
ornis,1,531,194.897586816
trone,1,560,194.905434569
parts,1,608,194.927996861
seare,1,463,195.141848146
scena,1,511,195.144398666
mapes,1,495,195.247204238
mails,1,599,195.289385913
botes,1,535,195.308416716
piers,1,484,195.354129880
irons,1,531,195.367863449
cause,1,459,195.385913282
ciels,1,542,195.438689425
liner,1,486,195.460466941
derat,1,557,195.468510889
games,1,464,195.585638611
cafes,1,453,195.598195017
sargo,1,477,195.610555229
mages,1,464,195.618402982
slime,1,498,195.723759074
haole,1,548,195.732195409
nomes,1,480,195.762016873
alure,1,438,195.836570532
sehri,1,451,195.860113792
atone,1,477,195.899941142
larnt,1,542,195.944477143
arson,1,402,195.946242888
onces,1,448,195.986462625
maile,1,535,195.997841868
cosie,1,452,196.005297234
ronts,1,564,196.073572690
teaks,1,498,196.151657838
poser,1,492,196.171081028
miser,1,478,196.187561311
adret,1,557,196.203060624
ocrea,1,458,196.219933294
crane,1,537,196.224053365
tarps,1,608,196.233274475
melts,1,518,196.287227781
soyle,1,441,196.389052384
mesia,1,374,196.407102217
morse,1,465,196.443790465
laxes,1,487,196.549931332
sonde,1,501,196.569550716
skear,1,440,196.652344516
presa,1,411,196.674318226
proas,1,488,196.686874632
feats,1,481,196.694133804
rayls,1,479,196.735138317
mines,1,513,196.743967039
yites,1,483,196.792034530
lends,1,519,196.848342162
sient,1,568,196.885030410
moals,1,564,196.885815185
wries,1,524,196.923092015
amens,1,518,196.924661566
anile,1,478,197.027467138
lazes,1,486,197.101628409
liart,1,553,197.164410438
trems,1,495,197.223660977
heils,1,510,197.248773789
lieus,1,574,197.283303904
samey,1,411,197.303708064
keros,1,510,197.373553070
olpes,1,498,197.406121248
smote,1,489,197.408279380
dines,1,554,197.445948597
trams,1,565,197.563664901
noter,1,560,197.603884638
harts,1,583,197.620364921
scrat,1,521,197.716499902
faces,1,453,197.748087110
doris,1,560,197.783794389
beisa,1,383,197.907592702
lands,1,592,197.909750834
daurs,1,528,198.022169904
aimer,1,480,198.200313910
tajes,1,474,198.224641946
steno,1,547,198.291544046
ramen,1,565,198.353541299
odals,1,501,198.365901511
rimae,1,455,198.387875221
dants,1,603,198.403178340
smile,1,498,198.468510889
spaed,1,471,198.529919561
swale,1,460,198.579556602
maleo,1,441,198.610359035
taxes,1,478,198.626250736
sales,1,495,198.634098489
amirs,1,460,198.647047283
heads,1,450,198.653325486
cents,1,523,198.732980184
nerol,1,465,198.797920345
dealt,1,514,198.812242496
colas,1,522,198.840886796
istle,1,452,198.845399254
cards,1,522,199.058661958
ketas,1,498,199.168726702
realm,1,516,199.238375515
armet,1,553,199.254659604
mabes,1,481,199.280557191
boers,1,510,199.303904257
mesal,1,430,199.361781440
aider,1,514,199.415538552
usnea,1,372,199.424563469
rases,1,467,199.501471454
tosed,1,493,199.512458309
kesar,1,422,199.518344124
biers,1,478,199.553659015
omers,1,465,199.609378066
goras,1,477,199.619972533
latus,1,618,199.667059054
keirs,1,503,199.752599568
tolar,1,506,199.754953894
hails,1,596,199.836374338
losed,1,477,199.839317245
large,1,546,199.841867765
pages,1,482,199.863841475
slaid,1,537,199.926034923
spiel,1,551,200.008240141
halos,1,533,200.041985482
salut,1,618,200.112615264
rathe,1,552,200.131646066
dures,1,575,200.279576221
aryls,1,479,200.283107710
sault,1,618,200.291544046
scart,1,521,200.366293898
alder,1,527,200.375907397
siker,1,503,200.444771434
fetas,1,481,200.457327840
yeast,1,484,200.508926820
loams,1,564,200.514812635
karos,1,523,200.528350010
sield,1,518,200.552285658
dents,1,564,200.580733765
cains,1,608,200.683343143
prate,1,553,200.685305081
yarns,1,510,200.790268786
coirs,1,577,200.797135570
gapes,1,482,200.850500294
orfes,1,522,200.920345301
alods,1,501,200.957622131
horse,1,461,200.969982343
satyr,1,524,201.066509712
diets,1,550,201.075927016
ogles,1,488,201.089464391
styre,1,455,201.115361978
malis,1,599,201.174612517
nelia,1,439,201.314302531
stake,1,430,201.373749264
lytes,1,515,201.389248578
adore,1,533,201.393368648
shade,1,450,201.413380420
faros,1,497,201.420639592
baler,1,568,201.425152050
namer,1,565,201.497939965
dirls,1,501,201.643515794
breis,1,478,201.644300569
inset,1,476,201.666078085
targe,1,575,201.668236217
gater,1,575,201.775750441
resod,1,487,201.808711006
roist,1,532,201.841671572
sheal,1,533,201.859329017
skier,1,503,201.884245635
swear,1,436,201.902295468
salic,1,586,201.935648421
neist,1,489,201.942122817
lager,1,546,201.956052580
tehrs,1,537,201.977830096
steam,1,531,202.007455366
tiges,1,576,202.079850893
ditas,1,549,202.093976849
veals,1,476,202.197959584
codes,1,530,202.249558564
scone,1,473,202.335491466
blase,1,416,202.336276241
bones,1,519,202.339415342
laned,1,582,202.378065529
rears,1,463,202.441043751
noyes,1,477,202.493623700
recta,1,511,202.657641750
slope,1,498,202.713360800
moats,1,567,202.799686090
gaols,1,567,202.801648028
fairs,1,533,202.904845988
inros,1,531,202.951736315
smite,1,531,203.026093781
lords,1,521,203.027270944
boras,1,493,203.047871297
nides,1,554,203.156170296
roids,1,560,203.158132235
barns,1,563,203.208161664
waste,1,444,203.215224642
gites,1,576,203.216597999
raike,1,476,203.236609770
vires,1,544,203.320384540
speat,1,546,203.380223661
lokes,1,515,203.392387679
tends,1,564,203.424759663
pines,1,548,203.459682166
sears,1,463,203.504610555
pails,1,634,203.626446930
sined,1,554,203.652148323
bites,1,584,203.699823426
stain,1,565,203.706494016
sured,1,575,203.740043163
ajies,1,458,203.751422405
since,1,502,203.761428291
trail,1,553,203.784579164
trape,1,553,203.842848735
irone,1,514,203.876986463
beast,1,458,204.000784775
