word,rank
fiber,726
field,86
fiend,2575
fiery,1254
fifth,372
fifty,303
filet,4308
filly,4092
final,152
finch,2029
finer,1153
first,8
fishy,3804
fixer,3871
fizzy,6164
fjord,3025
flail,3724
flair,2534
flake,2325
flaky,4033
flame,710
flank,1176
flare,1855
flash,814
flask,1404
flesh,490
flick,2630
fling,2121
flint,1240
flirt,3050
float,1069
flock,1095
flood,680
floor,225
flora,1063
floss,3143
flour,811
flout,4395
flown,1536
fluff,3664
fluke,3326
flume,3668
flung,1126
flunk,5696
flute,1511
flyer,2748
foamy,4057
focal,962
focus,265
foggy,2689
foist,5036
folio,1512
folly,1012
foray,3212
force,82
forge,1506
forgo,2934
forte,2188
forth,239
forty,309
forum,844
found,21
foyer,2509
frail,1563
frame,356
frank,392
freak,2307
fresh,290
fried,1419
frill,4380
fritz,1571
frock,2328
frond,3723
front,128
frost,966
froth,2809
frown,1804
froze,1958
fruit,373
fugue,2507
fully,205
fungi,1269
funky,4049
funny,881
fuzzy,1358
gamer,5429
gamma,1127
gamut,2543
gaudy,2458
gauge,990
gaunt,1983
gauze,1874
gavel,3967
gawky,5407
gecko,4970
geese,1708
genie,2837
genre,989
ghost,768
ghoul,5268
giant,677
giddy,2453
girth,2726
given,29
gizmo,5865
glade,3028
gland,890
glare,1543
glass,227
glaze,1839
gleam,1742
glean,3266
glide,1912
glint,2947
gloat,4585
globe,783
gloom,1291
glory,452
gloss,1818
glove,1752
glyph,3912
gnash,6328
gnome,3516
gofer,7283
going,68
golem,4501
goner,6101
goody,2997
gooey,5161
goofy,4247
goose,1388
gorge,1668
gouge,3505
grace,331
grade,391
graft,1241
grail,2323
grain,438
grand,299
grant,304
graph,756
grasp,737
grass,457
grate,2084
grave,477
gravy,2580
great,16
greed,1418
green,169
greet,1449
grief,708
grift,8136
grime,3410
grimy,3098
grind,1797
gripe,4219
groan,1986
groin,2281
groom,1556
gross,469
group,42
grout,2956
grove,991
growl,2640
grown,357
gruel,3245
gruff,3095
guano,3147
guard,402
guava,4290
guess,538
guest,739
guide,295
guild,1297
guile,2996
guise,1441
gully,2398
gumbo,4347
gummy,4128
gunky,11090
guppy,4803
gusty,4350
habit,499
hairy,1733
halve,4411
handy,1384
happy,249
hardy,948
harsh,868
haste,1131
hasty,1393
hatch,1402
hater,3577
haunt,1853
haven,820
havoc,1882
hazel,1736
heady,2557
heard,121
heart,96
heath,1214
heave,2408
heavy,204
hefty,3108
heist,5307
helix,1809
hello,1190
hence,203
heron,2149
hilly,2059
hinge,1802
hippo,3216
hitch,2179
hoard,2248
hobby,1787
hoist,2291
holly,1629
homer,987
honey,818
horde,2313
horse,257
hotel,368
hound,1978
house,40
hovel,3492
hover,2474
howdy,4536
human,44
humid,1726
humor,817
humph,4251
hunch,2852
hunky,6336
hurry,902
hutch,3805
hydra,2776
hyena,3424
hyper,2333
icing,2718
ideal,311
idiom,1712
idler,3263
igloo,4593
image,171
imbue,4155
impel,3341
inane,3746
inbox,4496
incur,1677
index,259
indie,3885
inept,2632
inert,1503
infer,1205
inlay,3286
inlet,1246
inner,316
input,340
inter,603
intro,2656
ionic,1242
irate,3153
irony,1034
islet,2552
issue,142
itchy,3837
ivory,1113
jaunt,4168
jazzy,5425
jelly,1665
jerky,3053
jewel,1580
jiffy,5010
joint,264
joker,3458
jolly,1630
joust,4979
judge,228
juice,804
jumbo,3012
jumpy,4288
karma,1719
kayak,3530
kazoo,7442
kebab,6073
kefir,6759
khaki,2564
kiosk,3598
knack,2597
knave,2859
knead,3743
kneel,2105
knell,3330
knelt,1587
knife,686
knock,1082
knoll,2476
known,56
koala,5074
krill,4336
label,716
labor,136
laden,1121
ladle,3005
lager,3525
lance,1407
lanky,3514
lapel,3725
lapse,1328
large,35
larva,1722
laser,758
lasso,3370
latch,2128
later,45
lathe,2232
latte,5054
laugh,616
layer,325
leach,2019
leafy,2111
leaky,2827
leapt,2065
learn,197
lease,718
leash,2608
least,62
leave,130
ledge,1702
leech,2420
leery,4836
lefty,3928
leggy,5681
lemon,1104
lemur,4694
level,63
lever,1128
libel,1555
light,61
liken,3948
lilac,2401
limbo,2716
limit,317
linen,1027
liner,1844
lingo,3463
lithe,3158
liver,505
livid,2761
llama,3594
loath,2638
lobby,1208
local,77
locus,1119
lodge,788
lofty,1025
logic,411
loopy,6500
loris,5202
loser,2189
louse,3043
lousy,2531
lover,690
lower,101
lowly,1871
loyal,828
lucid,1897
lucky,840
lumpy,3267
lunar,1439
lunch,646
lunge,3409
lurid,2548
lusty,2801
lying,418
macaw,5034
macho,2841
madam,1248
madly,2371
magic,585
magma,2218
maize,1159
major,91
maker,839
mambo,4750
manga,4064
mango,2296
mania,1758
manic,2067
manly,1448
manor,1201
maple,1444
march,132
marry,589
marsh,1030
mason,889
masse,2177
match,528
matey,6197
matte,2838
mauve,3037
maxim,1370
maybe,327
mayor,641
mealy,3944
meant,233
medal,1295
media,282
medic,3561
melon,2481
mercy,604
merge,1417
merit,626
merry,1074
metal,294
meter,911
metro,1748
micro,1015
midge,3648
midst,623
might,22
mimic,1942
mince,3306
miner,1595
minty,5239
minus,1089
mirth,1894
miser,2830
modal,1574
model,100
modem,1206
mogul,2655
moist,1064
molar,1437
moldy,4216
mommy,2170
money,80
month,213
mooch,7050
moose,1901
moral,157
mossy,2926
motel,1877
motor,342
motto,1489
moult,3555
mount,545
mourn,1935
mouse,719
mouth,241
mover,2116
movie,684
mucky,6153
muggy,5007
mulch,2858
mummy,2050
munch,2950
mural,1943
mushy,4134
music,147
musty,2908
myrrh,3400
nadir,2666
naive,1168
nanny,2514
nasal,1036
nasty,1542
natal,1461
naval,525
navel,2447
needy,1604
neigh,4035
nerdy,6941
nerve,405
nervy,5861
never,30
newly,537
nicer,2774
niche,1520
niece,1451
night,84
ninja,4914
ninth,834
noble,428
nobly,2125
noise,401
noisy,1253
nomad,2904
north,83
notch,1592
novel,320
nudge,3408
nurse,520
nylon,1824
nymph,2332
oasis,2038
occur,188
ocean,407
octet,3678
oddly,1686
offal,3780
offer,214
often,38
older,250
olive,927
omega,1990
onion,1338
onset,779
oomph,7328
opera,624
opine,5091
order,31
organ,539
other,5
otter,2078
ought,261
ounce,1274
outdo,3544
outer,458
overt,1218
owner,361
oxide,771
ozone,1434
paint,592
panel,580
panic,864
papal,1057
paper,107
parer,6881
parka,4187
parry,1857
party,69
pasta,1896
patch,985
patio,2011
patsy,2708
patty,2190
pause,808
peace,138
peach,1658
pearl,950
pecan,3280
pedal,1927
penne,5395
perch,1851
peril,1236
perky,4683
pesky,4591
petal,2870
petty,903
phase,202
phone,432
phony,2751
photo,653
piano,740
picky,4843
piece,231
piety,984
pilot,667
pinch,1588
piney,4509
pinky,3951
pinto,2520
pious,963
piper,1891
pique,3178
pitch,696
pithy,3498
pixel,1732
pixie,4997
place,25
plaid,2757
plain,326
plait,3832
plane,319
plank,1643
plant,172
plate,275
plaza,1285
plead,1412
pleat,5265
pluck,2049
plumb,2360
plume,1910
plump,1928
plunk,6053
point,36
poise,2311
poker,1856
polar,933
polka,3375
polyp,3204
poppy,2199
porch,1031
posse,2482
pound,615
pouty,7149
power,27
prank,3576
preen,5522
press,66
price,115
prick,2425
pride,474
prime,390
primo,2411
primp,8743
print,433
prior,255
prism,1540
prize,695
probe,974
prone,1039
prong,3382
proof,332
prose,742
proud,559
prove,301
prowl,3773
proxy,1424
prude,4859
prune,2719
psalm,1154
puffy,3168
pulpy,4369
pupil,665
purge,1774
quack,2906
quail,2200
quake,3130
qualm,5049
quark,2724
quart,1624
quash,3786
queen,268
query,947
quest,854
queue,1464
quick,404
quiet,375
quill,2364
quilt,1862
quirk,3175
quite,88
quota,1339
quote,847
rabid,3045
racer,3590
radio,336
rainy,1381
raise,374
ramen,7048
ranch,1077
range,124
rapid,314
ratio,279
ratty,5200
rayon,2459
reach,232
react,906
ready,187
realm,630
rebel,993
rebus,2939
rebut,3389
recap,4174
recur,1836
refer,371
regal,1985
rehab,3673
relax,1073
relay,1332
relic,1884
remit,2318
renew,1346
repay,1535
repel,1955
rerun,4225
resin,1199
retch,6146
retro,3303
retry,4771
reuse,1980
revel,2521
revue,1463
rhino,3352
rhyme,1475
rider,1245
ridge,688
right,24
rigid,689
riper,3911
risen,877
riser,3155
rival,745
rivet,2526
roach,2499
robin,1047
robot,1408
rocky,858
rodeo,2922
rogue,1979
roomy,3367
roost,2735
rouge,1544
rough,498
round,163
rouse,1743
route,416
rover,2289
rowdy,3160
rower,5287
royal,220
ruddy,2286
ruder,3926
rugby,2134
rumba,5345
rupee,2477
rural,293
rusty,1725
saint,453
salad,1203
sally,1076
salsa,3044
salty,2358
sandy,850
sassy,4541
satin,1710
saucy,3411
sauna,3248
saute,2914
savor,2899
savvy,2839
scald,4178
scale,164
scant,1731
scare,1692
scarf,1930
scene,246
scent,1243
scoff,3592
scold,2930
scone,4421
scope,434
score,488
scorn,1316
scour,2959
scout,1560
scowl,3138
scram,6086
scrap,1352
scrub,1728
scrum,4759
sedan,2223
seedy,3565
segue,5610
sense,71
serif,3816
serum,638
serve,217
seven,167
sever,2275
shade,731
shaft,780
shake,849
shaky,2118
shall,34
shame,715
shank,2517
shape,248
shard,4834
share,183
sharp,385
shave,2129
shawl,2006
shear,871
sheep,540
sheet,427
shelf,952
shell,512
shift,387
shine,1164
shire,2106
shirk,3289
shoal,2723
shore,468
shorn,2570
short,85
shout,1184
shove,2412
shown,93
showy,2550
shred,2978
shrub,1789
shrug,2198
shuck,5124
shunt,1735
shush,5638
shyly,2901
siege,873
sight,281
silly,1038
since,28
singe,4916
siren,2308
sissy,3288
sitar,5562
sixth,554
skate,2807
skier,3866
skiff,3220
skill,408
skimp,5977
skirt,1249
skull,879
skunk,2913
slang,1937
slate,1307
sleek,2276
sleep,288
slice,1259
slick,2097
slime,2319
slope,605
slosh,6105
sloth,2607
slump,2253
slung,2244
small,33
smart,836
smash,2103
smear,2015
smell,702
smelt,2546
smile,420
smirk,3539
smite,3099
smith,226
smock,3394
smoke,531
snack,1981
snafu,7202
snail,2020
snake,908
snaky,5612
snare,2127
snarl,3347
sneak,2164
snide,4898
snoop,4766
snore,4007
snort,3036
snout,2347
sober,1115
soggy,3360
solar,639
solid,306
solve,578
sonic,2569
sorry,500
sound,150
south,74
sower,3624
space,114
spade,1975
spare,790
spark,1106
spasm,1775
spate,3022
speak,173
spear,1287
speck,2309
speed,258
spell,910
spelt,2573
spend,431
spent,245
spice,1880
spicy,2375
spiel,4326
spike,1613
spill,1762
spine,905
spiny,3061
spire,2171
spite,384
splat,5204
split,561
spoil,1454
spoke,298
spoof,4873
spool,2824
spoon,1365
spore,2069
sport,705
spout,2610
spray,1001
sprig,3548
spurt,2765
squad,1526
squat,2267
squid,2501
stack,1007
staff,194
stage,134
staid,2469
stain,1137
stair,1859
stake,885
stale,1754
stall,1572
stamp,904
stand,182
stank,4285
stare,1213
stark,1207
start,185
stash,4032
state,17
stead,1608
steam,470
steed,2279
steel,296
steep,831
stein,1237
stern,809
stick,591
stiff,925
still,23
stilt,4659
sting,1687
stink,2712
stint,2594
stock,181
stoic,1956
stole,1318
stomp,4107
stone,219
stony,1606
stood,191
stool,1330
store,324
stork,2998
storm,527
story,105
stout,1140
stove,1139
strap,1784
straw,920
stray,1528
strut,2605
study,52
stuff,634
stump,1654
stung,2098
stunt,2593
style,184
suave,3344
suede,3758
sugar,358
suite,916
sulky,3250
sully,2622
sumac,4340
sunny,1235
super,860
surer,2921
surge,1469
surly,2961
sushi,3795
swamp,1327
swath,3677
sweat,981
sweep,1020
sweet,394
swell,1283
swill,5070
swine,1694
swing,882
swirl,2589
swish,3657
swoon,3450
swoop,3172
sword,583
sworn,1215
swung,1078
syrup,1619
tabby,3704
table,53
taboo,1765
tacit,1669
tacky,3882
taffy,4138
taken,54
tally,2109
talon,3755
tangy,4922
taper,2024
tapir,4556
tardy,2627
taste,377
tasty,2490
taunt,2872
taupe,6625
tawny,2641
teach,430
teary,5275
tease,2262
teddy,1791
teeth,413
tempo,1459
tenor,1395
tenth,791
tepid,3001
terse,2682
thank,417
theft,1116
their,2
theme,449
there,3
these,6
thick,369
thief,1276
thigh,1319
thing,89
think,43
third,92
thorn,1596
those,11
three,19
threw,577
throb,2924
throw,521
thrum,5635
thump,2812
thyme,2519
tiara,3674
tibia,1948
tidal,1308
tiger,1101
tilde,5396
timer,1893
tinge,2145
tipsy,3660
titan,2611
tithe,2183
title,206
tizzy,7041
toady,5983
toast,1502
today,135
tonic,1516
tooth,835
topaz,3337
topic,543
torch,1479
torso,2075
total,75
totem,2315
touch,330
tough,813
towel,1481
tower,550
toxic,861
toxin,1646
trace,516
track,465
tract,614
trade,98
trail,627
train,339
trait,1055
trash,1541
trawl,3687
treat,475
trend,548
triad,1889
trial,251
trice,4079
trick,988
tripe,4200
trite,2849
troll,3223
troop,1267
trope,2843
trout,1112
trove,3845
truck,722
truly,362
truss,2071
trust,221
truth,125
tryst,4269
tuber,2783
tulip,2714
tunic,2110
turbo,2677
tutor,1320
twang,4156
tweak,4647
tweed,2141
tweet,6473
twice,376
twine,2558
twirl,4498
twist,1151
udder,3405
ulcer,1376
ultra,1286
umbra,4271
uncle,483
under,14
undid,3618
undue,1262
unfed,5751
unfit,1462
unify,2413
union,111
unite,959
unlit,4284
unmet,3365
untie,3616
until,46
unzip,6147
upper,178
upset,830
urban,269
usage,656
usher,1922
using,70
usual,254
usurp,2890
utter,866
uvula,4111
vague,759
valet,2193
valid,514
value,51
vapid,4224
vault,1415
vegan,4872
venom,2054
venue,1872
verge,1491
verse,506
verve,3583
video,597
vigor,1293
villa,1035
vinyl,1843
viola,1953
viral,1149
visit,234
visor,3621
vital,454
vivid,913
vixen,4194
vocal,954
vodka,2389
vogue,1564
voice,137
voila,4095
voter,1435
vouch,3229
vowel,1230
vying,3502
wacky,4885
wafer,2113
wagon,936
waist,1017
waltz,2146
waste,388
watch,328
water,32
waxen,4081
waver,3088
weary,924
weave,1647
wedge,1351
weedy,3689
weigh,1100
weird,1457
whack,3562
whale,1221
wheat,534
wheel,568
whelp,5126
where,12
which,1
whiff,3091
while,20
whine,2815
whiny,6138
whirl,2285
whisk,2854
white,60
whole,47
whoop,3354
whose,73
widen,2021
width,563
wield,2261
wince,3670
windy,2092
wiser,1480
witch,1156
witty,1628
woken,3417
woman,90
women,41
wooer,5745
wordy,3712
world,18
worry,619
worse,378
worst,509
would,4
wound,564
woven,1163
wrath,1033
wreak,3299
wreck,1364
wrist,1072
write,165
wrong,215
wrote,149
wrung,2361
yacht,1635
yearn,2964
yeast,1141
yield,365
young,58
youth,286
zebra,2625
zesty,6771
